INSERT INTO lover_management.user (avatar, bust, description, email, facebook_url, first_name, gender, height, hips, joined_at, last_login_at, last_name, password, phone, rented_counter, status, username, view_counter, waist, weight, year_of_birth, city_id, nationality_id) VALUES (null, 88, null, null, null, 'leslie', 'Female', 188, 92, '2018-12-22', null, null, '$2a$10$TNO6fHpfFHgATGn94qBtm.qk4O1wqTNNcZbpch1pxCTbAjdXLwoAG', null, 5, null, 'leslie', 1000, 55, 60, 1992, null, null);

INSERT INTO lover_management.user (avatar, bust, description, email, facebook_url, first_name, gender, height, hips, joined_at, last_login_at, last_name, password, phone, rented_counter, status, username, view_counter, waist, weight, year_of_birth, city_id, nationality_id) VALUES (null, 89, null, null, null, 'Afyna', 'Female', 170, 91, '2020-05-03', null, null, '$2a$10$TNO6fHpfFHgATGn94qBtm.qk4O1wqTNNcZbpch1pxCTbAjdXLwoAG', null, 6, null, 'Afyna', 2224, 53, 53, 1995, null, null);

INSERT INTO lover_management.user (avatar, bust, description, email, facebook_url, first_name, gender, height, hips, joined_at, last_login_at, last_name, password, phone, rented_counter, status, username, view_counter, waist, weight, year_of_birth, city_id, nationality_id) VALUES (null, 90, null, null, null, 'Erica', 'Female', 175, 88, '2021-06-04', null, null, '$2a$10$TNO6fHpfFHgATGn94qBtm.qk4O1wqTNNcZbpch1pxCTbAjdXLwoAG', null, 10, null, 'Erica', 1322, 54, 54, 1994, null, null);

INSERT INTO lover_management.user (avatar, bust, description, email, facebook_url, first_name, gender, height, hips, joined_at, last_login_at, last_name, password, phone, rented_counter, status, username, view_counter, waist, weight, year_of_birth, city_id, nationality_id) VALUES (null, 88, null, null, null, 'Evelyn', 'Female', 177, 89, '2021-07-03', null, null, '$2a$10$TNO6fHpfFHgATGn94qBtm.qk4O1wqTNNcZbpch1pxCTbAjdXLwoAG', null, 22, null, 'Evelyn', 1422, 58, 58, 1996, null, null);

INSERT INTO lover_management.user (avatar, bust, description, email, facebook_url, first_name, gender, height, hips, joined_at, last_login_at, last_name, password, phone, rented_counter, status, username, view_counter, waist, weight, year_of_birth, city_id, nationality_id) VALUES (null, 87, null, null, null, 'Beatriz', 'Female', 176, 90, '2021-09-04', null, null, '$2a$10$TNO6fHpfFHgATGn94qBtm.qk4O1wqTNNcZbpch1pxCTbAjdXLwoAG', null, 12, null, 'Beatriz', 1500, 53, 51, 1999, null, null);

INSERT INTO lover_management.user (avatar, bust, description, email, facebook_url, first_name, gender, height, hips, joined_at, last_login_at, last_name, password, phone, rented_counter, status, username, view_counter, waist, weight, year_of_birth, city_id, nationality_id) VALUES (null, 88, null, null, null, 'Lanning', 'Female', 180, 88, '2021-01-03', null, null, '$2a$10$TNO6fHpfFHgATGn94qBtm.qk4O1wqTNNcZbpch1pxCTbAjdXLwoAG', null, 22, null, 'Lanning', 1432, 52, 54, 2000, null, null);

INSERT INTO lover_management.user (avatar, bust, description, email, facebook_url, first_name, gender, height, hips, joined_at, last_login_at, last_name, password, phone, rented_counter, status, username, view_counter, waist, weight, year_of_birth, city_id, nationality_id) VALUES (null, 85, null, null, null, 'Patricia', 'Female', 178, 87, '2021-03-22', null, null, '$2a$10$TNO6fHpfFHgATGn94qBtm.qk4O1wqTNNcZbpch1pxCTbAjdXLwoAG', null, 16, null, 'Patricia', 1444, 53, 55, 1996, null, null);

INSERT INTO lover_management.user (avatar, bust, description, email, facebook_url, first_name, gender, height, hips, joined_at, last_login_at, last_name, password, phone, rented_counter, status, username, view_counter, waist, weight, year_of_birth, city_id, nationality_id) VALUES (null, 86, null, null, null, 'Lauri', 'Female', 169, 88, '2021-04-11', null, null, '$2a$10$TNO6fHpfFHgATGn94qBtm.qk4O1wqTNNcZbpch1pxCTbAjdXLwoAG', null, 60, null, 'Lauri', 1555, 57, 57, 1998, null, null);

